"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Day_OfWeek__c","fleetforce__Duration__c","fleetforce__End_Time__c","fleetforce__Fleet_Schedule__c","fleetforce__Start_Time__c","fleetforce__Type__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Schedule__r.Name"
"a0MWm000000FZf2MAG","SWN-0007","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","Thursday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FZruMAG","SWN-0006","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","Saturday","4","13:00:00.000Z","a0EWm000000j9wvMAA","09:00:00.000Z","Preferred","User User","User User","Standard Business Hours (Eastern)"
"a0MWm000000FaRNMA0","SWN-0002","2026-08-20T14:22:06.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:06.000+0000","005Wm000002EIUDIA4","Monday","9","17:00:00.000Z","a0EWm000000j9wvMAA","08:00:00.000Z","Available","User User","User User","Standard Business Hours (Eastern)"
"a0MWm000000FaSzMAK","SWN-0003","2026-08-20T14:22:06.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:06.000+0000","005Wm000002EIUDIA4","Tuesday","9","17:00:00.000Z","a0EWm000000j9wvMAA","08:00:00.000Z","Available","User User","User User","Standard Business Hours (Eastern)"
"a0MWm000000FaUbMAK","SWN-0004","2026-08-20T14:22:06.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:06.000+0000","005Wm000002EIUDIA4","Wednesday","9","17:00:00.000Z","a0EWm000000j9wvMAA","08:00:00.000Z","Available","User User","User User","Standard Business Hours (Eastern)"
"a0MWm000000FaWDMA0","SWN-0005","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","Friday","9","17:00:00.000Z","a0EWm000000j9wvMAA","08:00:00.000Z","Available","User User","User User","Standard Business Hours (Eastern)"
"a0MWm000000FaXpMAK","SWN-0008","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","Saturday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FaZRMA0","SWN-0009","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:07.000+0000","005Wm000002EIUDIA4","Thursday","9","17:00:00.000Z","a0EWm000000j9wvMAA","08:00:00.000Z","Available","User User","User User","Standard Business Hours (Eastern)"
"a0MWm000000Fab3MAC","SWN-0010","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Monday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FacfMAC","SWN-0011","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Tuesday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FaeHMAS","SWN-0012","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Wednesday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FaftMAC","SWN-0013","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Friday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FahVMAS","SWN-0014","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Sunday","24","23:59:00.000Z","a0EWm000000jEBhMAM","00:00:00.000Z","Required","User User","User User","24/7 Continuous Operations"
"a0MWm000000FahWMAS","SWN-0019","2026-08-20T14:22:09.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:09.000+0000","005Wm000002EIUDIA4","Thursday","13","19:00:00.000Z","a0EWm000000jArLMAU","06:00:00.000Z","Available","User User","User User","Extended Mountain Field Support"
"a0MWm000000Faj7MAC","SWN-0015","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Monday","13","19:00:00.000Z","a0EWm000000jArLMAU","06:00:00.000Z","Available","User User","User User","Extended Mountain Field Support"
"a0MWm000000FakjMAC","SWN-0016","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:08.000+0000","005Wm000002EIUDIA4","Tuesday","13","19:00:00.000Z","a0EWm000000jArLMAU","06:00:00.000Z","Available","User User","User User","Extended Mountain Field Support"
"a0MWm000000FamLMAS","SWN-0017","2026-08-20T14:22:09.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:09.000+0000","005Wm000002EIUDIA4","Wednesday","13","19:00:00.000Z","a0EWm000000jArLMAU","06:00:00.000Z","Available","User User","User User","Extended Mountain Field Support"
"a0MWm000000FanxMAC","SWN-0018","2026-08-20T14:22:09.000+0000","005Wm000002EIUDIA4","2026-08-20T14:22:09.000+0000","005Wm000002EIUDIA4","Friday","13","19:00:00.000Z","a0EWm000000jArLMAU","06:00:00.000Z","Available","User User","User User","Extended Mountain Field Support"
