"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Acquisition_Cost__c","fleetforce__Agreement__c","fleetforce__Excess_Mileage_Rate__c","fleetforce__Included_Mileage__c","fleetforce__Model_Reference__c","fleetforce__Monthly_Base_Fee__c","fleetforce__Monthly_Depreciation__c","fleetforce__Residual_Value_Percent__c","fleetforce__Term_Months__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Agreement__r.Name"
"a00Wm000008mObLIAU","LINE-011 (2024 Toyota Camry LE)","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","28500","a01Wm00000K9KyXIAV","0.15","15000","2024 Toyota Camry LE","380","1.6","54","36","User User","User User","MLA-2024-APEX-002"
"a00Wm000008mOpsIAE","LINE-007 (2023 Ford F-350 Super Dut)","2026-08-19T20:40:18.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:18.000+0000","005Wm000002EIUDIA4","72000","a01Wm00000K9NTJIA3","0.25","30000","2023 Ford F-350 Super Duty Diesel","890","1.5","55","60","User User","User User","MLA-2024-PINN-001"
"a00Wm000008mQbWIAU","LINE-005 (2023 Ford E-Transit Cargo)","2026-08-19T20:40:18.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:18.000+0000","005Wm000002EIUDIA4","54000","a01Wm00000K9NTJIA3","0.2","20000","2023 Ford E-Transit Cargo Van EV","620","2.1","46","48","User User","User User","MLA-2024-PINN-001"
"a00Wm000008mQd8IAE","LINE-002 (2022 Ford Transit-250 Car)","2026-08-19T20:40:18.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:18.000+0000","005Wm000002EIUDIA4","44500","a01Wm00000K9NTJIA3","0.2","25000","2022 Ford Transit-250 Cargo Van","520","2","45","48","User User","User User","MLA-2024-PINN-001"
"a00Wm000008mQd9IAE","LINE-010 (2022 Ram ProMaster 2500 H)","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","43200","a01Wm00000K9KyXIAV","0.2","22000","2022 Ram ProMaster 2500 High Roof","510","2","46","48","User User","User User","MLA-2024-APEX-002"
"a00Wm000008mQdAIAU","LINE-015 (2024 Honda Accord EX)","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","29800","a01Wm00000K9KyXIAV","0.15","15000","2024 Honda Accord EX","390","1.6","53","36","User User","User User","MLA-2024-APEX-002"
"a00Wm000008mQv3IAE","LINE-012 (2023 Ram 1500 Big Horn Qu)","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","47200","a01Wm00000K9KyXIAV","0.18","18000","2023 Ram 1500 Big Horn Quad Cab","540","1.8","52","36","User User","User User","MLA-2024-APEX-002"
"a00Wm000008mRKhIAM","LINE-013 (2024 Toyota RAV4 Hybrid X)","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","34800","a01Wm00000K9KyXIAV","0.15","15000","2024 Toyota RAV4 Hybrid XLE","420","1.5","56","36","User User","User User","MLA-2024-APEX-002"
"a00Wm000008mRKiIAM","LINE-014 (2023 Chevrolet Tahoe Comm)","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:19.000+0000","005Wm000002EIUDIA4","65000","a01Wm00000K9KyXIAV","0.22","20000","2023 Chevrolet Tahoe Commercial 4WD","790","1.7","49","48","User User","User User","MLA-2024-APEX-002"
"a00Wm000008mRqvIAE","LINE-001 (2023 Ford F-150 XLT Super)","2026-08-19T20:40:17.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:17.000+0000","005Wm000002EIUDIA4","51200","a01Wm00000K9NTJIA3","0.18","20000","2023 Ford F-150 XLT SuperCrew","580","1.8","48","48","User User","User User","MLA-2024-PINN-001"
